,Name,%,Price,Rating,Release,Ends,Started
0,Machinika: Museum,-100%,"R$ 0,00",87.44%,Mar 2021,in 8 days,6 days ago
1,ENDLESS™ Legend,-100%,"R$ 0,00",82.27%,Sep 2014,in 4 days,3 days ago
2,100% Orange Juice,-100%,"R$ 0,00",90.45%,Sep 2013,in 3 days,3 days ago
3,Killing Floor 2,-95%,"R$ 2,79",86.60%,Nov 2016,in 4 days,3 days ago
4,Wizard with a Gun,-50%,"R$ 29,99",78.05%,Oct 2023,in 4 days,6 days ago
5,Lil Gator Game,-50%,"R$ 29,99",94.99%,Dec 2022,in 12 days,2 days ago
6,Killing Floor,-90%,"R$ 3,49",93.37%,May 2009,in 4 days,3 days ago
7,The Forgotten City,-65%,"R$ 25,89",93.25%,Jul 2021,in 8 days,6 days ago
8,Poly Bridge 2,-80%,"R$ 5,79",92.26%,May 2020,in 17 hours,6 days ago
9,Poly Bridge 3,-68%,"R$ 35,07",90.54%,May 2023,in 17 hours,6 days ago
10,UNSIGHTED,-60%,"R$ 19,99",88.83%,Sep 2021,in 17 hours,6 days ago
11,The Wild at Heart,-60%,"R$ 18,99",88.76%,May 2021,in 17 hours,6 days ago
12,Broken Reality,-85%,"R$ 4,34",88.74%,Nov 2018,in 4 days,3 days ago
13,CaseCracker,-50%,"R$ 10,34",88.73%,Dec 2022,in 14 days,7 hours ago
14,Paper Beast,-75%,"R$ 11,49",88.01%,Jul 2020,in 8 days,6 days ago
15,Blade of Darkness,-60%,"R$ 11,59",87.95%,Oct 2021,in 10 days,4 days ago
16,The House of Da Vinci 3,-50%,"R$ 29,99",86.03%,Dec 2022,in 6 days,yesterday
17,Root,-60%,"R$ 11,59",86.02%,Sep 2020,in 17 hours,13 days ago
18,Archvale,-50%,"R$ 22,49",85.35%,Dec 2021,in 17 hours,6 days ago
19,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,-70%,"R$ 21,89",85.01%,Sep 2020,in 8 days,6 days ago
20,Foretales,-50%,"R$ 22,99",82.13%,Sep 2022,in 8 days,6 days ago
21,Trombone Champ,-60%,"R$ 11,59",94.86%,Sep 2022,in 2 days,5 days ago
22,Alba: A Wildlife Adventure,-75%,"R$ 13,12",94.21%,Dec 2020,in 8 days,6 days ago
23,Carto,-70%,"R$ 11,39",93.55%,Oct 2020,in 17 hours,6 days ago
24,Unpacking,-50%,"R$ 29,99",90.91%,Nov 2021,in 17 hours,6 days ago
25,One Step From Eden,-60%,"R$ 15,19",90.58%,Mar 2020,in 17 hours,6 days ago
26,OTXO,-50%,"R$ 14,49",89.77%,Apr 2023,in 17 hours,6 days ago
27,Poly Bridge,-90%,"R$ 2,06",89.25%,Jul 2016,in 17 hours,6 days ago
28,Return to Monkey Island,-50%,"R$ 36,99",89.23%,Sep 2022,in 4 days,10 days ago
29,Wizard of Legend,-70%,"R$ 9,29",88.91%,May 2018,in 17 hours,6 days ago
30,Minecraft Dungeons,-50%,"R$ 37,47",88.83%,Sep 2021,in 10 days,4 days ago
31,Forager,-65%,"R$ 13,29",88.52%,Apr 2019,in 17 hours,6 days ago
32,Re: LieF ~ Shin'ainaru Anata e~,-58%,"R$ 27,71",88.43%,Feb 2021,in 7 days,yesterday
33,Ring of Pain,-70%,"R$ 11,39",88.35%,Oct 2020,in 17 hours,6 days ago
34,Assassin's Creed® Odyssey,-85%,"R$ 26,99",88.15%,Oct 2018,in 7 days,4 days ago
35,Anarcute,-80%,"R$ 7,19",86.56%,Jul 2016,in 8 days,6 days ago
36,Grand Theft Auto V,-65%,"R$ 38,63",86.33%,Apr 2015,—,6 days ago
37,Old School Musical,-75%,"R$ 7,99",86.19%,Sep 2018,in 8 days,6 days ago
38,Ikenfell,-70%,"R$ 11,39",86.15%,Oct 2020,in 17 hours,6 days ago
39,Hell Pie,-66%,"R$ 25,15",85.98%,Jul 2022,in 2 days,4 days ago
40,Another Lost Phone: Laura's Story,-72%,"R$ 2,23",85.83%,Sep 2017,in 8 days,6 days ago
41,Drug Dealer Simulator,-87%,"R$ 4,93",85.66%,Apr 2020,in 17 hours,6 days ago
42,A Normal Lost Phone,-72%,"R$ 2,23",85.32%,Jan 2017,in 8 days,6 days ago
43,The Crackpet Show,-75%,"R$ 11,75",84.00%,Dec 2022,in 17 hours,6 days ago
44,Dungeon Village,-63%,"R$ 6,87",82.83%,Mar 2022,in 6 days,8 days ago
45,Vampires' Melody 2,-50%,"R$ 6,89",82.52%,Sep 2023,in 5 days,10 days ago
46,Cyberpunk 2077,-50%,"R$ 99,95",81.51%,Dec 2020,in 7 days,3 days ago
47,A Hat in Time,-50%,"R$ 44,49",96.07%,Oct 2017,in 17 hours,6 days ago
48,Inscryption,-50%,"R$ 24,99",95.56%,Oct 2021,in 4 days,10 days ago
49,American Truck Simulator,-75%,"R$ 15,49",95.51%,Feb 2016,in 11 days,3 days ago
50,One Finger Death Punch,-78%,"R$ 1,86",95.38%,Mar 2014,in 17 hours,6 days ago
51,Don't Starve,-75%,"R$ 5,17",95.30%,Apr 2013,in 17 hours,6 days ago
52,Risk of Rain 2,-50%,"R$ 29,99",95.22%,Aug 2020,in 17 hours,6 days ago
53,Sid Meier's Civilization® V,-75%,"R$ 11,24",94.97%,Sep 2010,in 8 days,6 days ago
54,Vampires' Melody,-80%,"R$ 2,75",94.11%,Oct 2020,in 5 days,10 days ago
55,Ultimate Chicken Horse,-65%,"R$ 15,74",93.93%,Mar 2016,in 17 hours,6 days ago
56,Valheim,-50%,"R$ 18,99",93.82%,Feb 2021,in 9 days,6 days ago
57,My Friend Pedro,-75%,"R$ 14,99",93.64%,Jun 2019,in 4 days,3 days ago
58,月影魅像-解放之羽-,-65%,"R$ 23,09",93.52%,Jul 2019,in 7 days,yesterday
59,Monster Prom 2: Monster Camp,-66%,"R$ 8,46",93.40%,Oct 2020,in 4 days,10 days ago
60,One Finger Death Punch 2,-75%,"R$ 4,14",92.69%,Apr 2019,in 17 hours,6 days ago
61,Marvel's Guardians of the Galaxy,-75%,"R$ 62,49",92.53%,Oct 2021,in 17 hours,9 days ago
62,ISLANDERS,-65%,"R$ 5,94",92.37%,Apr 2019,in 7 days,7 days ago
63,Cities: Skylines,-70%,"R$ 32,39",92.25%,Mar 2015,in 4 days,10 days ago
64,Epistory - Typing Chronicles,-70%,"R$ 12,89",91.66%,Mar 2016,in 8 days,6 days ago
65,Risk of Rain (2013),-80%,"R$ 3,99",91.50%,Nov 2013,in 17 hours,6 days ago
66,Torchlight II,-80%,"R$ 6,99",91.16%,Sep 2012,in 8 days,6 days ago
67,Project Wingman,-50%,"R$ 23,74",91.16%,Dec 2020,in 17 hours,6 days ago
68,Death's Door,-75%,"R$ 14,99",91.15%,Jul 2021,in 4 days,3 days ago
69,Thomas Was Alone,-80%,"R$ 3,39",91.00%,Nov 2012,in 17 hours,6 days ago
